category,bedrooms,sample_size,rent_plus_expensas_median_usd,expensas_median_usd,utilities_median_usd,guarantee_mean_when_charged_usd,listings_with_guarantee_pct,broker_fee_mean_when_charged_usd,listings_with_broker_fee_pct,all_in_median_usd,utils_pct,guarantee_pct,broker_pct
long furnished,1,3347,738.0,126.0,92.0,69.0,95.0,40.0,8.0,947.0,9.7,7.3,4.2
long unfurnished,1,24963,458.0,88.0,68.0,41.0,92.0,18.0,8.0,607.0,11.3,6.8,3.0
temp furnished,1,2903,850.0,110.0,91.0,,0.0,156.0,91.0,1138.0,8.0,,13.7
temp unfurnished,1,858,800.0,113.0,91.0,,0.0,135.0,92.0,1064.0,8.5,,12.7
long furnished,2,2216,1023.0,182.0,98.0,102.0,94.0,48.0,8.0,1344.0,7.3,7.6,3.6
long unfurnished,2,15296,641.0,132.0,78.0,62.0,92.0,28.0,8.0,862.0,9.0,7.2,3.2
temp furnished,2,1435,1300.0,163.0,96.0,,0.0,232.0,92.0,1672.0,5.8,,13.9
temp unfurnished,2,525,1271.0,176.0,98.0,,0.0,217.0,92.0,1654.0,5.9,,13.1
long furnished,3,1738,1748.0,360.0,119.0,173.0,97.0,84.0,5.0,2337.0,5.1,7.4,3.6
long unfurnished,3,7233,1300.0,289.0,108.0,129.0,94.0,60.0,6.0,1782.0,6.0,7.2,3.4
temp furnished,3,686,2500.0,300.0,113.0,,0.0,423.0,94.0,3161.0,3.6,,13.4
temp unfurnished,3,461,2700.0,359.0,116.0,,0.0,432.0,91.0,3536.0,3.3,,12.2
