source,total_listings,ranking_ready_listings,one_bedroom_listings,two_bedroom_listings,three_or_more_bedroom_listings
airbnb,31097,27316,18214,4237,1480
zonaprop,28501,15830,10437,6389,4715
mercadolibre,19432,11210,6364,3625,3479
argenprop,18841,12773,6670,3567,3252
bullano,292,99,106,79,44
directoaldueno,262,166,119,48,20
soloduenos,94,74,41,22,8
telegram,29,13,8,15,4
