barrio,airbnb_sample_size,airbnb_monthly_median_usd,airbnb_monthly_p25_usd,airbnb_monthly_p75_usd,direct_temp_furnished_sample_size,direct_temp_furnished_monthly_median_usd,direct_long_furnished_sample_size,direct_long_furnished_monthly_median_usd,direct_long_unfurnished_sample_size,direct_long_unfurnished_monthly_median_usd,savings_vs_direct_temp_furnished_usd,savings_vs_direct_temp_furnished_pct,bedrooms
Puerto Madero,186,3030.0,2488.0,3859.0,192,2422.0,257,2412.0,296,1884.0,608.0,20.0,1
Victoria,16,1800.0,1332.0,1981.0,,,,,49,1024.0,,,1
Floresta,11,1742.0,1036.0,2502.0,,,,,18,603.0,,,1
Olivos,42,1731.0,1370.0,2058.0,,,27,989.0,100,758.0,,,1
Acassuso,29,1717.0,1504.0,1884.0,,,,,12,835.0,,,1
San Isidro,92,1700.0,1387.0,2141.0,,,,,56,839.0,,,1
Tigre,102,1694.0,1401.0,2021.0,20,1521.0,,,183,832.0,173.0,10.0,1
Beccar,34,1586.0,1115.0,2043.0,,,,,30,1002.0,,,1
Colegiales,283,1574.0,1286.0,1876.0,92,1201.0,77,1235.0,210,823.0,373.0,24.0,1
Palermo,3599,1544.0,1275.0,1859.0,756,1245.0,605,1177.0,1178,837.0,299.0,19.0,1
Vicente López,138,1527.0,1213.0,1831.0,32,1561.0,77,1149.0,410,762.0,-34.0,-2.0,1
Núñez,203,1473.0,1265.0,1713.0,63,1243.0,63,1090.0,296,889.0,230.0,16.0,1
Belgrano,544,1455.0,1226.0,1701.0,168,1138.0,102,1072.0,521,825.0,317.0,22.0,1
San Fernando,16,1421.0,1141.0,2245.0,,,,,60,671.0,,,1
Martínez,45,1406.0,860.0,1735.0,,,,,36,844.0,,,1
Recoleta,1447,1388.0,1169.0,1632.0,353,1049.0,221,850.0,547,721.0,339.0,24.0,1
Villa Devoto,42,1380.0,1113.0,1833.0,,,,,58,714.0,,,1
Villa Urquiza,142,1345.0,1148.0,1522.0,32,1183.0,50,890.0,373,757.0,162.0,12.0,1
Retiro,529,1311.0,1083.0,1606.0,101,942.0,79,910.0,141,733.0,369.0,28.0,1
San Nicolás,920,1243.0,1062.0,1441.0,92,820.0,54,724.0,163,648.0,423.0,34.0,1
La Matanza,35,1233.0,939.0,1426.0,,,,,207,499.0,,,1
Chacarita,185,1226.0,997.0,1426.0,29,1108.0,23,1006.0,98,811.0,118.0,10.0,1
San Telmo,352,1218.0,995.0,1601.0,63,970.0,39,1020.0,100,734.0,248.0,20.0,1
Parque Chacabuco,24,1204.0,903.0,1364.0,,,,,43,783.0,,,1
General San Martín,22,1189.0,1056.0,1418.0,,,,,142,582.0,,,1
Villa Crespo,463,1183.0,994.0,1431.0,65,996.0,53,945.0,236,749.0,187.0,16.0,1
Coghlan,45,1175.0,1025.0,1372.0,,,11,948.0,44,782.0,,,1
La Boca,59,1168.0,1007.0,1452.0,,,,,11,778.0,,,1
Monserrat,617,1163.0,953.0,1392.0,74,810.0,38,811.0,131,675.0,353.0,30.0,1
Villa Pueyrredón,11,1156.0,1030.0,1274.0,,,,,31,746.0,,,1
Caballito,193,1147.0,969.0,1354.0,57,1021.0,71,785.0,593,669.0,126.0,11.0,1
Barracas,96,1142.0,815.0,1543.0,,,,,30,684.0,,,1
Almagro,489,1135.0,954.0,1347.0,122,922.0,57,853.0,393,657.0,213.0,19.0,1
Saavedra,76,1133.0,974.0,1429.0,,,,,76,874.0,,,1
Morón,16,1120.0,934.0,1199.0,,,,,212,552.0,,,1
Constitución,169,1117.0,839.0,1238.0,15,785.0,22,717.0,78,620.0,332.0,30.0,1
Villa General Mitre,20,1108.0,1027.0,1242.0,,,,,27,697.0,,,1
Flores,67,1084.0,885.0,1293.0,,,,,147,705.0,,,1
Villa del Parque,45,1080.0,850.0,1352.0,,,,,50,699.0,,,1
Villa Santa Rita,12,1075.0,925.0,1101.0,,,,,29,658.0,,,1
Parque Chas,19,1060.0,894.0,1231.0,,,,,21,727.0,,,1
Villa Luro,12,1054.0,944.0,1453.0,,,,,30,728.0,,,1
Balvanera,541,1049.0,833.0,1253.0,77,865.0,80,700.0,281,621.0,184.0,18.0,1
Parque Patricios,33,1042.0,831.0,1210.0,,,,,18,619.0,,,1
Florida,17,1040.0,993.0,1281.0,,,,,26,724.0,,,1
San Cristóbal,81,1017.0,857.0,1224.0,13,891.0,20,806.0,105,654.0,126.0,12.0,1
Agronomía,19,1014.0,795.0,1239.0,,,,,12,733.0,,,1
Villa Ortúzar,42,985.0,796.0,1198.0,,,,,39,828.0,,,1
Avellaneda,10,981.0,795.0,1869.0,,,,,95,526.0,,,1
Tres de Febrero,23,950.0,846.0,1159.0,,,,,230,535.0,,,1
Boedo,40,867.0,653.0,1007.0,,,,,25,694.0,,,1
Parque Avellaneda,12,860.0,726.0,960.0,,,,,,,,,1
