barrio_name,airbnb_n,airbnb_median,airbnb_p25,airbnb_p75,temp_furn_n,temp_furn_median,long_furn_n,long_furn_median,long_unfurn_n,long_unfurn_median,savings_vs_temp,pct_savings,bedrooms
Villa Crespo,86,1823.0,1493.0,2318.0,21,1130.0,,,20,1144.0,693.0,38.0,2
Olivos,14,1711.0,1629.0,1884.0,,,,,19,1408.0,,,2
Martínez,24,1687.0,1444.0,2015.0,,,,,25,1139.0,,,2
Monserrat,113,1685.0,1371.0,1977.0,25,1098.0,,,23,920.0,587.0,35.0,2
Caballito,43,1628.0,1262.0,2003.0,28,1259.0,,,72,1008.0,369.0,23.0,2
Boedo,11,1625.0,1358.0,1939.0,,,,,15,909.0,,,2
Almagro,101,1562.0,1240.0,1919.0,38,1229.0,,,43,994.0,333.0,21.0,2
San Telmo,90,1543.0,1325.0,1893.0,14,1086.0,,,11,880.0,457.0,30.0,2
San Cristóbal,16,1469.0,1320.0,2050.0,,,,,21,809.0,,,2
Balvanera,100,1386.0,1213.0,1680.0,27,1155.0,,,50,875.0,231.0,17.0,2
La Boca,15,1361.0,1241.0,1405.0,,,,,,,,,2
Flores,15,1333.0,1178.0,1658.0,,,,,57,901.0,,,2
Constitución,22,1114.0,823.0,1545.0,14,920.0,,,15,814.0,194.0,17.0,2
