bedrooms,airbnb_n,airbnb_median,temp_furn_n,temp_furn_median,savings_vs_temp_furn,pct_savings_temp,long_furn_n,long_furn_median,savings_vs_long_furn,pct_savings_long,long_unfurn_n,long_unfurn_median,savings_vs_long_unfurn,pct_savings_unfurn
1,13363,1281.0,2704,922.0,359.0,28.0,1164,873.0,408.0,32.0,6475,654.0,627.0,49.0
2,3098,2022.0,863,1357.0,665.0,33.0,559,1341.0,681.0,34.0,3105,909.0,1113.0,55.0
