barrio_name,airbnb_n,airbnb_median,airbnb_p25,airbnb_p75,temp_furn_n,temp_furn_median,long_furn_n,long_furn_median,long_unfurn_n,long_unfurn_median,savings_vs_temp,pct_savings,bedrooms
Puerto Madero,195,2901.0,2485.0,3905.0,62,2069.0,33,2128.0,66,1649.0,832.0,29.0,1
Tigre,114,1758.0,1452.0,2099.0,83,1386.0,53,1274.0,189,949.0,372.0,21.0,1
Beccar,38,1752.0,1194.0,2025.0,,,,,14,751.0,,,1
San Isidro,98,1690.0,1391.0,2098.0,,,,,35,845.0,,,1
Victoria,18,1690.0,1251.0,1931.0,,,,,22,751.0,,,1
Olivos,39,1671.0,1282.0,1882.0,,,,,32,810.0,,,1
Acassuso,30,1651.0,1443.0,1895.0,,,,,,,,,1
San Fernando,20,1569.0,1218.0,2026.0,,,,,54,672.0,,,1
Vicente López,144,1499.0,1228.0,1770.0,,,26,915.0,151,765.0,,,1
Colegiales,336,1436.0,1217.0,1764.0,49,1056.0,21,952.0,67,764.0,380.0,26.0,1
Palermo,4108,1426.0,1180.0,1726.0,522,985.0,270,1081.0,515,819.0,441.0,31.0,1
Belgrano,618,1375.0,1165.0,1655.0,80,991.0,64,986.0,189,791.0,384.0,28.0,1
Villa Devoto,53,1374.0,1073.0,1751.0,,,,,91,735.0,,,1
Núñez,235,1324.0,1157.0,1565.0,42,972.0,21,988.0,87,820.0,352.0,27.0,1
Recoleta,1677,1282.0,1089.0,1554.0,287,792.0,112,882.0,284,733.0,490.0,38.0,1
Retiro,622,1234.0,984.0,1485.0,141,715.0,35,842.0,70,717.0,519.0,42.0,1
Villa Urquiza,165,1217.0,1072.0,1405.0,42,876.0,28,883.0,150,774.0,341.0,28.0,1
San Nicolás,979,1174.0,980.0,1397.0,123,735.0,38,741.0,99,650.0,439.0,37.0,1
Martínez,44,1166.0,865.0,1592.0,,,,,21,860.0,,,1
La Matanza,43,1160.0,962.0,1271.0,,,13,690.0,364,514.0,,,1
Floresta,15,1159.0,775.0,2141.0,,,,,25,623.0,,,1
General San Martín,29,1157.0,995.0,1352.0,,,13,686.0,271,604.0,,,1
San Telmo,386,1152.0,931.0,1499.0,42,752.0,18,814.0,42,707.0,400.0,35.0,1
Chacarita,226,1150.0,966.0,1381.0,17,985.0,,,35,817.0,165.0,14.0,1
Villa Crespo,510,1135.0,948.0,1352.0,64,928.0,24,876.0,129,735.0,207.0,18.0,1
Barracas,102,1128.0,834.0,1547.0,,,,,38,678.0,,,1
La Boca,54,1124.0,959.0,1329.0,,,,,15,580.0,,,1
Monserrat,704,1118.0,908.0,1356.0,83,792.0,19,800.0,78,672.0,326.0,29.0,1
Almagro,552,1099.0,942.0,1271.0,101,838.0,43,865.0,182,696.0,261.0,24.0,1
Morón,17,1098.0,941.0,1228.0,,,16,600.0,312,548.0,,,1
Florida,18,1094.0,948.0,1432.0,,,,,15,699.0,,,1
Villa Santa Rita,12,1093.0,880.0,1188.0,,,,,22,675.0,,,1
Saavedra,92,1090.0,917.0,1361.0,11,843.0,,,42,807.0,247.0,23.0,1
Villa Pueyrredón,15,1087.0,929.0,1314.0,,,,,40,720.0,,,1
Villa General Mitre,25,1085.0,904.0,1178.0,,,,,21,628.0,,,1
Coghlan,48,1083.0,934.0,1337.0,,,,,17,757.0,,,1
