bedrooms,airbnb_n,airbnb_median,temp_furn_n,temp_furn_median,savings_vs_temp_furn,pct_savings_temp,long_furn_n,long_furn_median,savings_vs_long_furn,pct_savings_long,long_unfurn_n,long_unfurn_median,savings_vs_long_unfurn,pct_savings_unfurn
1,14004,1263.0,2181,875.0,388.0,31.0,1306,879.0,384.0,30.0,7102,655.0,608.0,48.0
2,2929,2073.0,680,1271.0,802.0,39.0,679,1340.0,733.0,35.0,3336,907.0,1166.0,56.0
