snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at,methodology_version
2026-07-01,Almagro,0,all,all,929,879,572.73,706.06,934.74,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,0,platform,all,147,144,1007.50,1160.00,1593.50,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,0,platform,furnished,147,144,1007.50,1160.00,1593.50,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,0,direct,all,782,724,554.83,655.89,787.00,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,0,direct,furnished,315,309,713.82,809.43,1019.99,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,0,direct,unfurnished,382,372,503.77,578.70,654.27,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,all,all,1579,1529,670.16,897.10,1228.00,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,platform,all,750,720,919.59,1165.00,1507.00,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,platform,furnished,748,718,922.59,1168.00,1508.00,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,direct,all,829,784,615.36,708.63,898.99,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,direct,furnished,258,243,773.98,931.72,1104.13,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,1,direct,unfurnished,488,453,583.92,660.26,733.72,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,2,all,all,464,431,921.79,1156.52,1498.41,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
2026-07-01,Almagro,2,platform,all,128,124,1272.50,1725.50,2350.25,2026-07-31T03:28:14.076331+00:00,7a7959fab51a
