snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at,methodology_version
2026-08-01,Almagro,0,all,all,1031,989,604.00,731.39,1030.83,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,0,platform,all,239,232,1002.50,1193.00,1459.50,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,0,platform,furnished,239,232,1002.50,1193.00,1459.50,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,all,792,736,571.61,677.44,812.00,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,furnished,319,317,700.66,836.28,1028.04,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,0,direct,unfurnished,390,378,512.05,619.14,681.08,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,all,all,1500,1450,669.41,902.34,1234.00,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,platform,all,689,659,921.35,1192.00,1530.00,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,platform,furnished,687,657,923.00,1192.00,1530.00,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,all,811,776,622.70,719.28,933.12,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,furnished,262,243,777.06,933.92,1100.09,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,1,direct,unfurnished,464,430,587.65,662.89,757.74,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,all,all,475,440,932.46,1194.05,1510.59,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,platform,all,130,123,1282.50,1709.50,2356.25,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,platform,furnished,130,123,1282.50,1709.50,2356.25,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,all,345,336,873.19,1092.39,1294.77,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,furnished,88,85,1015.98,1201.55,1520.40,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,2,direct,unfurnished,215,213,846.17,983.68,1257.97,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,3,all,all,109,95,1210.59,1352.75,1888.20,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,all,91,80,1185.73,1335.39,1567.52,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,furnished,23,18,1352.75,1522.82,1898.62,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
2026-08-01,Almagro,3,direct,unfurnished,51,46,1105.03,1280.60,1509.03,2026-08-30T03:24:43.940461+00:00,64dbaeb7606f
