snapshot_date,barrio,bedroom_bucket,channel,furnished,n_total,n_fenced,p25,p50,p75,computed_at,methodology_version
2026-06-01,Acassuso,0,all,all,22,21,652.63,775.65,2720.75,2026-06-22T03:33:33.115608+00:00,v0-unversioned
2026-06-01,Acassuso,1,all,all,78,77,779.64,1395.29,1854.75,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,1,platform,all,47,45,1389.50,1730.00,2094.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,1,platform,furnished,38,37,1416.75,1722.50,2186.25,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,1,direct,all,31,26,739.59,779.05,974.66,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,1,direct,unfurnished,20,18,740.00,779.05,970.86,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,2,all,all,63,63,1047.42,1515.48,2076.13,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,2,direct,all,55,52,1034.92,1414.90,1669.82,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,2,direct,furnished,26,25,1116.49,1422.18,1723.76,2026-06-15T03:44:35.588311+00:00,v0-unversioned
2026-06-01,Acassuso,2,direct,unfurnished,33,30,1021.09,1301.72,1598.49,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,3,all,all,51,51,2482.16,4219.65,5978.02,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,3,direct,all,46,46,2190.02,4053.69,5912.49,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,3,direct,furnished,20,19,2829.27,4219.65,5384.80,2026-06-15T03:44:35.588311+00:00,v0-unversioned
2026-06-01,Acassuso,3,direct,unfurnished,24,24,2001.76,2880.32,5948.90,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,4,all,all,36,32,4101.90,5126.51,7587.24,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Acassuso,4,direct,all,33,29,4031.87,5126.51,7491.78,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,0,all,all,31,29,546.54,639.25,814.32,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,0,direct,all,26,25,533.34,572.39,684.15,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,1,all,all,70,69,676.66,857.25,1191.81,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,1,platform,all,32,32,769.25,1097.00,1317.75,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,1,platform,furnished,28,28,769.25,1097.50,1317.75,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,1,direct,all,38,36,663.27,795.80,935.81,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,1,direct,unfurnished,29,27,656.14,803.31,888.07,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Agronomía,2,all,all,20,19,989.96,1336.73,1811.84,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,all,all,641,622,643.05,779.19,1073.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,platform,all,137,133,1007.00,1158.00,1440.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,platform,furnished,120,117,1014.50,1159.00,1511.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,direct,all,504,476,610.27,718.26,900.81,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,direct,furnished,189,189,789.13,932.16,1170.93,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,0,direct,unfurnished,238,235,563.14,640.45,727.29,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,all,all,1899,1840,714.73,900.00,1206.50,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,platform,all,779,747,900.00,1148.00,1449.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,platform,furnished,632,605,906.75,1153.00,1444.25,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,direct,all,1120,1073,675.71,784.77,969.68,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,direct,furnished,429,423,776.67,914.76,1137.82,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,1,direct,unfurnished,562,523,629.83,716.36,825.03,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,2,all,all,464,432,976.65,1194.29,1576.59,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,2,platform,all,131,125,1232.00,1706.00,2294.00,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,2,platform,furnished,110,104,1209.00,1676.00,2259.75,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,2,direct,all,333,326,924.10,1117.89,1405.23,2026-06-30T03:19:34.403959+00:00,v0-unversioned
2026-06-01,Almagro,2,direct,furnished,99,95,1107.74,1277.27,1590.72,2026-06-30T03:19:34.403959+00:00,v0-unversioned
