bedrooms,airbnb_n,airbnb_median,temp_furn_n,temp_furn_median,savings_vs_temp_furn,pct_savings_temp,long_furn_n,long_furn_median,savings_vs_long_furn,pct_savings_long,long_unfurn_n,long_unfurn_median,savings_vs_long_unfurn,pct_savings_unfurn
1,13678,1311.00,2880,1137.00,174.00,13.00,2751,1010.00,301.00,23.00,17947,654.00,657.00,50.00
2,2801,2138.00,1414,1670.00,468.00,22.00,1642,1505.00,633.00,30.00,11012,933.00,1205.00,56.00
