as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Almagro,0,f,0,,,383,324,206,90,31.00,17.50,890
2026-08-20,buenos-aires,Almagro,0,f,1,,509.74,64,70,55,26,22.00,13.00,217
2026-08-20,buenos-aires,Almagro,0,f,2,509.74,600.00,94,91,56,27,25.00,16.00,237
2026-08-20,buenos-aires,Almagro,0,f,3,600.00,720.00,72,73,49,25,27.00,15.00,189
2026-08-20,buenos-aires,Almagro,0,f,4,720.00,,122,79,43,11,64.00,42.00,208
2026-08-20,buenos-aires,Almagro,0,n,0,,,389,482,383,196,21.00,15.00,1279
2026-08-20,buenos-aires,Almagro,0,n,1,,382.84,83,122,121,65,23.00,16.00,323
2026-08-20,buenos-aires,Almagro,0,n,2,382.84,440.93,90,106,78,39,21.00,18.00,317
2026-08-20,buenos-aires,Almagro,0,n,3,440.93,515.86,97,124,97,48,21.00,14.00,317
2026-08-20,buenos-aires,Almagro,0,n,4,515.86,,115,130,87,44,23.00,14.00,318
2026-08-20,buenos-aires,Almagro,0,u,0,,,107,104,100,35,28.00,22.00,314
2026-08-20,buenos-aires,Almagro,0,u,1,,418.12,24,28,28,12,30.00,16.50,76
2026-08-20,buenos-aires,Almagro,0,u,2,418.12,493.59,30,23,26,8,33.00,22.50,75
2026-08-20,buenos-aires,Almagro,0,u,3,493.59,567.85,25,29,22,9,23.00,21.50,75
2026-08-20,buenos-aires,Almagro,0,u,4,567.85,,20,16,19,6,22.00,25.00,71
2026-08-20,buenos-aires,Almagro,1,a,0,,,862,1012,867,405,21.00,15.00,3143
2026-08-20,buenos-aires,Almagro,1,a,1,,479.22,180,286,289,147,20.00,14.00,780
2026-08-20,buenos-aires,Almagro,1,a,2,479.22,559.49,188,229,204,90,20.00,14.50,774
2026-08-20,buenos-aires,Almagro,1,a,3,559.49,685.89,181,240,204,98,18.00,13.00,772
2026-08-20,buenos-aires,Almagro,1,a,4,685.89,,274,246,166,68,27.00,20.00,768
2026-08-20,buenos-aires,Almagro,1,f,0,,,306,235,183,73,22.00,15.00,890
2026-08-20,buenos-aires,Almagro,1,f,1,,578.78,55,50,49,24,21.00,10.00,217
