as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Caballito,3,f,0,,,23,21,14,8,23.00,11.00,103
2026-08-20,buenos-aires,Caballito,3,f,1,,1164.28,3,3,1,1,22.00,8.00,25
2026-08-20,buenos-aires,Caballito,3,f,2,1164.28,1700.00,2,6,7,3,14.00,38.00,24
2026-08-20,buenos-aires,Caballito,3,f,3,1700.00,2500.00,9,8,5,4,22.00,11.00,30
2026-08-20,buenos-aires,Caballito,3,f,4,2500.00,,7,4,1,0,36.00,30.00,20
2026-08-20,buenos-aires,Caballito,3,n,0,,,110,138,136,54,24.00,20.50,417
2026-08-20,buenos-aires,Caballito,3,n,1,,955.41,18,32,34,15,20.00,24.00,107
2026-08-20,buenos-aires,Caballito,3,n,2,955.41,1168.59,34,45,39,17,20.00,20.00,105
2026-08-20,buenos-aires,Caballito,3,n,3,1168.59,1602.56,29,30,26,7,25.00,27.50,102
2026-08-20,buenos-aires,Caballito,3,n,4,1602.56,,29,31,37,15,28.00,20.00,103
2026-08-20,buenos-aires,Caballito,3,u,0,,,48,57,42,20,28.00,19.50,131
2026-08-20,buenos-aires,Caballito,3,u,1,,1108.98,11,15,12,6,21.00,6.50,34
2026-08-20,buenos-aires,Caballito,3,u,2,1108.98,1320.13,7,14,11,4,25.00,18.00,28
2026-08-20,buenos-aires,Caballito,3,u,3,1320.13,2500.00,10,13,9,6,21.00,21.00,36
2026-08-20,buenos-aires,Caballito,3,u,4,2500.00,,20,14,9,3,82.00,31.00,32
2026-08-20,buenos-aires,Caballito,4,a,0,,,77,55,49,17,34.00,27.00,177
2026-08-20,buenos-aires,Caballito,4,a,1,,1500.00,12,16,17,9,27.00,23.00,46
2026-08-20,buenos-aires,Caballito,4,a,2,1500.00,2000.00,22,18,12,4,29.00,21.00,50
2026-08-20,buenos-aires,Caballito,4,a,3,2000.00,2501.23,24,12,7,1,100.00,30.00,38
2026-08-20,buenos-aires,Caballito,4,a,4,2501.23,,19,9,12,3,55.00,24.00,42
2026-08-20,buenos-aires,Caballito,4,n,0,,,57,35,28,11,45.00,27.50,117
2026-08-20,buenos-aires,Caballito,4,n,1,,1410.26,10,11,10,5,28.00,26.00,30
2026-08-20,buenos-aires,Caballito,4,n,2,1410.26,1920.53,10,10,9,5,27.00,14.00,32
2026-08-20,buenos-aires,Caballito,4,n,3,1920.53,2500.00,22,10,2,1,,21.50,28
2026-08-20,buenos-aires,Caballito,4,n,4,2500.00,,15,4,6,0,89.00,38.50,26
2026-08-20,buenos-aires,Caballito,4,u,0,,,18,16,16,4,36.00,21.50,45
2026-08-20,buenos-aires,Campana,-1,a,0,,,48,138,186,22,29.00,32.00,417
2026-08-20,buenos-aires,Campana,0,a,0,,,1,12,10,0,27.00,42.00,24
2026-08-20,buenos-aires,Campana,1,a,0,,,9,31,32,5,23.00,30.00,91
2026-08-20,buenos-aires,Campana,1,a,1,,420.71,2,11,9,2,21.00,27.00,21
2026-08-20,buenos-aires,Campana,1,a,2,420.71,482.76,1,6,4,1,23.00,32.00,21
2026-08-20,buenos-aires,Campana,1,a,3,482.76,575.34,3,9,6,1,31.00,31.00,22
2026-08-20,buenos-aires,Campana,1,a,4,575.34,,3,5,11,1,30.00,38.00,24
2026-08-20,buenos-aires,Campana,1,f,0,,,1,1,5,0,30.00,58.00,20
2026-08-20,buenos-aires,Campana,1,n,0,,,2,5,15,1,27.00,32.00,41
2026-08-20,buenos-aires,Campana,1,u,0,,,6,25,12,4,20.00,12.50,30
2026-08-20,buenos-aires,Campana,2,a,0,,,12,38,41,9,28.00,31.00,91
2026-08-20,buenos-aires,Campana,2,a,1,,482.76,2,9,11,2,25.00,31.00,21
2026-08-20,buenos-aires,Campana,2,a,2,482.76,581.96,1,7,12,3,30.00,29.00,23
2026-08-20,buenos-aires,Campana,2,a,3,581.96,800.00,3,6,7,0,25.00,48.00,24
2026-08-20,buenos-aires,Campana,2,a,4,800.00,,5,13,10,3,28.00,57.00,21
2026-08-20,buenos-aires,Campana,2,n,0,,,1,1,17,0,29.00,50.00,41
2026-08-20,buenos-aires,Campana,2,u,0,,,9,31,18,8,20.00,18.00,37
2026-08-20,buenos-aires,Campana,3,a,0,,,15,36,80,8,29.00,32.50,149
2026-08-20,buenos-aires,Campana,3,a,1,,990.10,1,8,27,3,26.00,29.00,43
2026-08-20,buenos-aires,Campana,3,a,2,990.10,1300.00,3,7,26,3,29.00,29.00,44
2026-08-20,buenos-aires,Campana,3,a,3,1300.00,1796.55,7,12,12,2,32.00,31.50,33
2026-08-20,buenos-aires,Campana,3,a,4,1796.55,,4,8,12,0,37.00,47.00,28
2026-08-20,buenos-aires,Campana,3,f,0,,,8,14,27,3,28.00,31.00,57
2026-08-20,buenos-aires,Campana,3,n,0,,,3,7,19,2,29.00,33.00,42
2026-08-20,buenos-aires,Campana,3,u,0,,,4,15,34,3,29.00,31.50,50
2026-08-20,buenos-aires,Campana,4,a,0,,,11,21,23,0,32.00,35.00,62
2026-08-20,buenos-aires,Campana,4,a,1,,1300.00,6,9,7,0,29.00,29.00,23
2026-08-20,buenos-aires,Campana,4,f,0,,,4,7,11,0,32.00,32.00,35
2026-08-20,buenos-aires,Cañuelas,-1,a,0,,,21,31,52,2,29.00,39.50,137
2026-08-20,buenos-aires,Cañuelas,1,a,0,,,4,6,10,1,26.00,32.00,30
2026-08-20,buenos-aires,Cañuelas,2,a,0,,,7,12,12,1,23.00,29.50,42
2026-08-20,buenos-aires,Cañuelas,3,a,0,,,6,9,17,0,31.00,43.00,37
2026-08-20,buenos-aires,Cañuelas,4,a,0,,,3,3,11,0,30.00,43.00,25
2026-08-20,buenos-aires,Chacarita,-1,a,0,,,598,640,523,221,23.00,17.00,1748
2026-08-20,buenos-aires,Chacarita,0,a,0,,,271,255,226,84,25.00,20.00,773
2026-08-20,buenos-aires,Chacarita,0,a,1,,480.77,67,75,78,29,26.00,21.50,200
2026-08-20,buenos-aires,Chacarita,0,a,2,480.77,575.16,61,75,58,25,21.00,14.00,191
2026-08-20,buenos-aires,Chacarita,0,a,3,575.16,689.12,60,51,48,17,18.00,17.50,192
2026-08-20,buenos-aires,Chacarita,0,a,4,689.12,,76,50,42,13,30.00,31.00,182
2026-08-20,buenos-aires,Chacarita,0,f,0,,,121,92,78,31,28.00,20.50,326
2026-08-20,buenos-aires,Chacarita,0,f,1,,583.33,26,30,26,11,21.00,17.50,83
2026-08-20,buenos-aires,Chacarita,0,f,2,583.33,650.00,29,21,27,10,21.00,21.00,104
2026-08-20,buenos-aires,Chacarita,0,f,3,650.00,750.00,25,19,15,8,32.00,8.00,60
2026-08-20,buenos-aires,Chacarita,0,f,4,750.00,,37,21,10,2,32.00,51.50,74
2026-08-20,buenos-aires,Chacarita,0,n,0,,,111,125,110,40,24.00,20.00,341
2026-08-20,buenos-aires,Chacarita,0,n,1,,430.51,23,31,42,16,26.00,23.00,88
2026-08-20,buenos-aires,Chacarita,0,n,2,430.51,503.56,35,39,28,14,25.00,16.50,87
2026-08-20,buenos-aires,Chacarita,0,n,3,503.56,582.76,33,34,18,4,25.00,28.50,85
2026-08-20,buenos-aires,Chacarita,0,n,4,582.76,,20,21,22,6,19.00,19.00,81
2026-08-20,buenos-aires,Chacarita,0,u,0,,,39,38,38,13,27.00,23.00,106
2026-08-20,buenos-aires,Chacarita,0,u,1,,442.49,10,10,10,3,31.00,26.00,27
2026-08-20,buenos-aires,Chacarita,0,u,2,442.49,550.00,5,5,11,3,24.00,29.00,27
2026-08-20,buenos-aires,Chacarita,0,u,3,550.00,650.00,12,13,7,4,12.00,3.00,28
2026-08-20,buenos-aires,Chacarita,0,u,4,650.00,,9,7,10,3,34.00,33.00,21
2026-08-20,buenos-aires,Chacarita,1,a,0,,,232,267,193,90,23.00,14.00,638
2026-08-20,buenos-aires,Chacarita,1,a,1,,526.49,48,70,66,30,22.00,19.00,159
2026-08-20,buenos-aires,Chacarita,1,a,2,526.49,696.37,63,66,39,15,27.00,23.00,161
2026-08-20,buenos-aires,Chacarita,1,a,3,696.37,863.51,53,67,39,23,26.00,11.00,158
2026-08-20,buenos-aires,Chacarita,1,a,4,863.51,,64,63,49,22,19.00,11.00,155
2026-08-20,buenos-aires,Chacarita,1,f,0,,,80,66,35,13,30.00,13.00,166
2026-08-20,buenos-aires,Chacarita,1,f,1,,650.00,20,20,6,1,22.00,34.50,42
2026-08-20,buenos-aires,Chacarita,1,f,2,650.00,820.00,15,16,9,5,30.00,12.00,40
2026-08-20,buenos-aires,Chacarita,1,f,3,820.00,1000.00,21,24,11,6,19.00,7.00,44
2026-08-20,buenos-aires,Chacarita,1,f,4,1000.00,,21,6,9,1,31.00,26.00,36
2026-08-20,buenos-aires,Chacarita,1,n,0,,,116,159,128,63,22.00,17.50,372
2026-08-20,buenos-aires,Chacarita,1,n,1,,495.05,28,43,44,21,22.00,20.00,93
2026-08-20,buenos-aires,Chacarita,1,n,2,495.05,604.58,30,37,36,14,25.00,20.50,95
2026-08-20,buenos-aires,Chacarita,1,n,3,604.58,732.48,23,30,26,13,19.00,15.00,92
2026-08-20,buenos-aires,Chacarita,1,n,4,732.48,,34,48,22,15,15.00,9.00,91
2026-08-20,buenos-aires,Chacarita,1,u,0,,,36,42,30,14,23.00,14.00,100
2026-08-20,buenos-aires,Chacarita,1,u,1,,696.15,13,13,3,1,21.00,30.00,24
2026-08-20,buenos-aires,Chacarita,1,u,2,696.15,846.16,15,15,6,2,26.00,12.00,31
2026-08-20,buenos-aires,Chacarita,1,u,3,846.16,918.04,3,11,13,10,5.00,4.00,20
2026-08-20,buenos-aires,Chacarita,1,u,4,918.04,,5,3,8,1,23.00,29.00,25
2026-08-20,buenos-aires,Chacarita,2,a,0,,,48,74,81,36,19.00,12.00,220
2026-08-20,buenos-aires,Chacarita,2,a,1,,746.48,7,12,26,5,17.00,18.50,55
2026-08-20,buenos-aires,Chacarita,2,a,2,746.48,917.80,6,15,19,9,9.00,13.00,56
2026-08-20,buenos-aires,Chacarita,2,a,3,917.80,1300.00,14,24,20,13,27.00,4.00,58
2026-08-20,buenos-aires,Chacarita,2,a,4,1300.00,,20,23,16,9,21.00,10.50,49
2026-08-20,buenos-aires,Chacarita,2,f,0,,,20,28,29,15,15.00,8.00,77
2026-08-20,buenos-aires,Chacarita,2,f,1,,900.00,2,3,9,1,10.00,12.00,21
2026-08-20,buenos-aires,Chacarita,2,f,2,900.00,1300.00,3,9,9,7,8.00,3.00,23
2026-08-20,buenos-aires,Chacarita,2,n,0,,,21,40,43,19,19.00,17.00,113
2026-08-20,buenos-aires,Chacarita,2,n,1,,728.48,5,9,16,4,27.00,31.50,30
2026-08-20,buenos-aires,Chacarita,2,n,2,728.48,825.08,4,9,9,5,9.00,7.00,28
2026-08-20,buenos-aires,Chacarita,2,n,3,825.08,1121.79,4,10,9,6,10.00,5.00,27
2026-08-20,buenos-aires,Chacarita,2,n,4,1121.79,,8,12,9,4,27.00,19.00,27
2026-08-20,buenos-aires,Chacarita,2,u,0,,,7,6,9,2,26.00,43.00,30
2026-08-20,buenos-aires,Chacarita,3,a,0,,,23,19,11,3,23.00,15.00,54
2026-08-20,buenos-aires,Chacarita,3,n,0,,,21,14,4,0,29.00,29.00,38
2026-08-20,buenos-aires,Chacarita,4,a,0,,,24,25,12,8,9.00,6.50,63
2026-08-20,buenos-aires,Chacarita,4,a,2,2300.00,2500.00,4,9,8,6,8.00,7.00,25
2026-08-20,buenos-aires,Chacarita,4,u,0,,,13,15,8,6,9.00,7.00,42
2026-08-20,buenos-aires,Chacarita,4,u,2,2391.80,2500.00,2,8,8,6,8.00,7.00,23
2026-08-20,buenos-aires,Coghlan,-1,a,0,,,276,352,308,148,22.00,18.00,1023
2026-08-20,buenos-aires,Coghlan,0,a,0,,,118,145,142,54,25.00,23.00,448
2026-08-20,buenos-aires,Coghlan,0,a,1,,463.58,26,30,35,11,27.00,28.00,111
2026-08-20,buenos-aires,Coghlan,0,a,2,463.58,550.00,21,38,42,19,19.00,18.50,119
2026-08-20,buenos-aires,Coghlan,0,a,3,550.00,650.00,29,42,40,16,23.00,21.50,114
2026-08-20,buenos-aires,Coghlan,0,a,4,650.00,,40,35,24,8,30.00,30.00,101
2026-08-20,buenos-aires,Coghlan,0,f,0,,,36,40,40,20,27.00,11.50,124
2026-08-20,buenos-aires,Coghlan,0,f,1,,561.40,4,6,10,4,17.00,14.50,32
2026-08-20,buenos-aires,Coghlan,0,f,2,561.40,650.00,6,14,15,9,21.00,6.00,30
2026-08-20,buenos-aires,Coghlan,0,f,3,650.00,702.59,11,15,10,6,27.00,4.00,30
2026-08-20,buenos-aires,Coghlan,0,f,4,702.59,,13,5,4,1,44.00,29.50,29
2026-08-20,buenos-aires,Coghlan,0,n,0,,,67,84,78,26,23.00,28.00,255
2026-08-20,buenos-aires,Coghlan,0,n,1,,448.52,20,21,16,6,20.00,19.00,63
2026-08-20,buenos-aires,Coghlan,0,n,2,448.52,506.99,9,15,22,8,24.00,24.50,63
2026-08-20,buenos-aires,Coghlan,0,n,3,506.99,573.72,19,28,22,10,21.00,21.00,65
2026-08-20,buenos-aires,Coghlan,0,n,4,573.72,,19,20,18,2,23.00,31.00,64
2026-08-20,buenos-aires,Coghlan,0,u,0,,,15,21,24,8,25.00,28.00,69
2026-08-20,buenos-aires,Coghlan,1,a,0,,,85,120,93,46,19.00,11.00,322
2026-08-20,buenos-aires,Coghlan,1,a,1,,526.32,20,37,33,17,22.00,9.00,78
2026-08-20,buenos-aires,Coghlan,1,a,2,526.32,683.04,20,25,15,8,22.00,22.00,78
2026-08-20,buenos-aires,Coghlan,1,a,3,683.04,800.00,20,33,25,14,18.00,8.00,83
2026-08-20,buenos-aires,Coghlan,1,a,4,800.00,,24,24,20,7,18.00,20.50,81
2026-08-20,buenos-aires,Coghlan,1,f,0,,,20,25,17,12,21.00,9.00,68
2026-08-20,buenos-aires,Coghlan,1,f,2,612.25,700.00,5,7,4,3,12.00,11.50,20
2026-08-20,buenos-aires,Coghlan,1,n,0,,,49,78,62,30,16.00,9.50,208
2026-08-20,buenos-aires,Coghlan,1,n,1,,514.47,14,24,23,12,13.00,6.00,56
2026-08-20,buenos-aires,Coghlan,1,n,2,514.47,632.65,14,22,11,6,22.00,22.00,44
2026-08-20,buenos-aires,Coghlan,1,n,3,632.65,777.07,10,12,7,2,15.00,25.00,53
2026-08-20,buenos-aires,Coghlan,1,n,4,777.07,,10,19,21,10,13.00,12.00,54
2026-08-20,buenos-aires,Coghlan,1,u,0,,,16,17,14,4,24.00,23.50,46
2026-08-20,buenos-aires,Coghlan,2,a,0,,,63,77,66,44,22.00,10.00,226
2026-08-20,buenos-aires,Coghlan,2,a,1,,800.00,18,22,19,12,22.00,11.00,58
2026-08-20,buenos-aires,Coghlan,2,a,2,800.00,996.76,9,19,18,12,21.00,16.00,54
2026-08-20,buenos-aires,Coghlan,2,a,3,996.76,1200.00,20,20,18,12,29.00,7.50,65
2026-08-20,buenos-aires,Coghlan,2,a,4,1200.00,,15,16,11,8,20.00,1.00,48
2026-08-20,buenos-aires,Coghlan,2,f,0,,,23,15,12,8,39.00,7.50,60
2026-08-20,buenos-aires,Coghlan,2,n,0,,,28,44,39,24,18.00,10.00,122
2026-08-20,buenos-aires,Coghlan,2,n,1,,716.17,8,13,13,7,17.00,15.00,31
2026-08-20,buenos-aires,Coghlan,2,n,2,716.17,914.47,6,9,9,7,21.00,10.00,31
2026-08-20,buenos-aires,Coghlan,2,n,3,914.47,1089.11,8,15,11,7,19.00,3.00,30
2026-08-20,buenos-aires,Coghlan,2,n,4,1089.11,,6,7,6,3,16.00,7.50,30
2026-08-20,buenos-aires,Coghlan,2,u,0,,,12,18,15,12,13.00,11.00,44
2026-08-20,buenos-aires,Coghlan,3,a,0,,,7,9,6,3,23.00,10.50,22
2026-08-20,buenos-aires,Colegiales,-1,a,0,,,1379,1644,1229,639,20.00,13.00,4385
2026-08-20,buenos-aires,Colegiales,0,a,0,,,438,486,328,173,24.00,16.00,1177
2026-08-20,buenos-aires,Colegiales,0,a,1,,500.00,99,132,100,56,19.00,15.00,309
2026-08-20,buenos-aires,Colegiales,0,a,2,500.00,600.00,112,133,90,46,23.00,15.00,320
2026-08-20,buenos-aires,Colegiales,0,a,3,600.00,750.00,108,108,60,36,22.00,17.50,265
2026-08-20,buenos-aires,Colegiales,0,a,4,750.00,,112,111,75,35,30.00,17.00,267
2026-08-20,buenos-aires,Colegiales,0,f,0,,,203,202,127,70,25.00,13.00,507
2026-08-20,buenos-aires,Colegiales,0,f,1,,600.00,54,70,50,31,22.00,12.50,159
2026-08-20,buenos-aires,Colegiales,0,f,2,600.00,718.03,44,39,24,12,30.00,24.00,100
2026-08-20,buenos-aires,Colegiales,0,f,3,718.03,853.30,43,37,20,12,16.00,16.00,120
2026-08-20,buenos-aires,Colegiales,0,f,4,853.30,,57,55,33,15,31.00,13.00,121
2026-08-20,buenos-aires,Colegiales,0,n,0,,,172,207,143,72,24.00,16.00,493
2026-08-20,buenos-aires,Colegiales,0,n,1,,445.86,34,50,47,24,22.00,16.00,124
2026-08-20,buenos-aires,Colegiales,0,n,2,445.86,531.03,53,58,25,16,18.00,10.00,125
2026-08-20,buenos-aires,Colegiales,0,n,3,531.03,610.34,43,47,34,13,29.00,26.50,121
2026-08-20,buenos-aires,Colegiales,0,n,4,610.34,,41,52,37,19,24.00,20.00,120
2026-08-20,buenos-aires,Colegiales,0,u,0,,,63,77,58,31,20.00,15.50,177
2026-08-20,buenos-aires,Colegiales,0,u,1,,488.47,14,19,15,7,15.00,15.00,43
2026-08-20,buenos-aires,Colegiales,0,u,2,488.47,556.29,9,18,17,10,9.00,8.00,43
2026-08-20,buenos-aires,Colegiales,0,u,3,556.29,689.10,17,19,12,7,16.00,14.00,43
2026-08-20,buenos-aires,Colegiales,0,u,4,689.10,,22,20,11,7,31.00,25.00,42
2026-08-20,buenos-aires,Colegiales,1,a,0,,,545,695,546,295,19.00,12.00,1889
2026-08-20,buenos-aires,Colegiales,1,a,1,,582.46,108,184,158,90,15.00,12.00,474
2026-08-20,buenos-aires,Colegiales,1,a,2,582.46,758.17,132,185,138,77,19.00,10.00,476
2026-08-20,buenos-aires,Colegiales,1,a,3,758.17,1027.87,130,159,116,61,19.00,11.50,466
2026-08-20,buenos-aires,Colegiales,1,a,4,1027.87,,161,167,134,67,23.00,12.00,458
2026-08-20,buenos-aires,Colegiales,1,f,0,,,242,262,194,107,22.00,11.00,734
2026-08-20,buenos-aires,Colegiales,1,f,1,,747.44,36,68,59,35,20.00,11.00,182
2026-08-20,buenos-aires,Colegiales,1,f,2,747.44,980.39,56,60,42,21,22.00,16.50,178
2026-08-20,buenos-aires,Colegiales,1,f,3,980.39,1400.00,70,69,43,28,21.00,8.00,193
2026-08-20,buenos-aires,Colegiales,1,f,4,1400.00,,67,65,50,23,24.00,15.50,168
2026-08-20,buenos-aires,Colegiales,1,n,0,,,233,359,297,159,16.00,12.00,938
2026-08-20,buenos-aires,Colegiales,1,n,1,,514.47,57,87,81,44,15.00,12.00,235
2026-08-20,buenos-aires,Colegiales,1,n,2,514.47,622.95,65,99,71,38,19.00,14.00,235
2026-08-20,buenos-aires,Colegiales,1,n,3,622.95,827.37,55,91,73,43,14.00,8.00,233
2026-08-20,buenos-aires,Colegiales,1,n,4,827.37,,55,82,72,34,18.00,14.00,234
2026-08-20,buenos-aires,Colegiales,1,u,0,,,70,74,55,29,21.00,14.00,217
2026-08-20,buenos-aires,Colegiales,1,u,1,,626.62,15,23,17,12,15.00,10.00,54
2026-08-20,buenos-aires,Colegiales,1,u,2,626.62,811.88,26,21,8,3,21.00,11.00,55
2026-08-20,buenos-aires,Colegiales,1,u,3,811.88,1009.79,17,20,16,9,19.00,9.00,55
2026-08-20,buenos-aires,Colegiales,1,u,4,1009.79,,12,10,14,5,31.00,23.00,52
2026-08-20,buenos-aires,Colegiales,2,a,0,,,252,303,231,109,17.00,11.00,881
2026-08-20,buenos-aires,Colegiales,2,a,1,,800.00,51,73,76,28,17.00,16.50,219
2026-08-20,buenos-aires,Colegiales,2,a,2,800.00,1006.62,52,74,57,29,15.00,8.00,222
2026-08-20,buenos-aires,Colegiales,2,a,3,1006.62,1339.65,74,88,50,28,17.00,11.00,225
2026-08-20,buenos-aires,Colegiales,2,a,4,1339.65,,68,68,48,24,23.00,11.00,207
2026-08-20,buenos-aires,Colegiales,2,f,0,,,104,96,73,35,22.00,9.00,282
2026-08-20,buenos-aires,Colegiales,2,f,1,,951.93,14,19,20,7,16.00,8.00,63
2026-08-20,buenos-aires,Colegiales,2,f,2,951.93,1292.36,28,32,20,13,15.00,7.00,75
2026-08-20,buenos-aires,Colegiales,2,f,3,1292.36,1783.01,21,18,17,7,27.00,19.00,68
2026-08-20,buenos-aires,Colegiales,2,f,4,1783.01,,34,27,16,8,30.00,8.50,69
2026-08-20,buenos-aires,Colegiales,2,n,0,,,124,175,133,64,15.00,13.00,499
2026-08-20,buenos-aires,Colegiales,2,n,1,,765.68,34,37,34,10,17.00,18.00,128
2026-08-20,buenos-aires,Colegiales,2,n,2,765.68,906.15,25,43,42,20,14.00,13.00,123
2026-08-20,buenos-aires,Colegiales,2,n,3,906.15,1144.82,35,55,33,22,10.00,9.00,127
2026-08-20,buenos-aires,Colegiales,2,n,4,1144.82,,30,40,24,12,17.00,12.50,121
2026-08-20,buenos-aires,Colegiales,2,u,0,,,24,32,25,10,16.00,18.00,100
2026-08-20,buenos-aires,Colegiales,2,u,1,,815.59,5,8,8,4,14.00,16.00,25
2026-08-20,buenos-aires,Colegiales,2,u,2,815.59,1006.62,5,8,8,3,22.00,10.00,26
2026-08-20,buenos-aires,Colegiales,2,u,3,1006.62,1282.05,8,8,4,1,24.00,28.50,25
2026-08-20,buenos-aires,Colegiales,2,u,4,1282.05,,6,8,5,2,15.00,31.00,23
2026-08-20,buenos-aires,Colegiales,3,a,0,,,93,104,91,40,22.00,17.00,323
2026-08-20,buenos-aires,Colegiales,3,a,1,,1153.85,18,24,23,11,17.00,14.00,83
2026-08-20,buenos-aires,Colegiales,3,a,2,1153.85,1400.00,21,19,16,6,21.00,18.00,80
2026-08-20,buenos-aires,Colegiales,3,a,3,1400.00,2000.00,28,40,34,16,20.00,11.50,93
2026-08-20,buenos-aires,Colegiales,3,a,4,2000.00,,23,21,18,7,31.00,22.50,63
2026-08-20,buenos-aires,Colegiales,3,f,0,,,21,24,24,13,24.00,12.50,90
2026-08-20,buenos-aires,Colegiales,3,f,1,,1161.29,6,6,5,3,19.00,3.00,22
2026-08-20,buenos-aires,Colegiales,3,f,2,1161.29,1450.00,3,1,3,1,21.00,65.00,22
2026-08-20,buenos-aires,Colegiales,3,f,3,1450.00,2000.00,4,10,8,6,10.00,11.00,23
2026-08-20,buenos-aires,Colegiales,3,n,0,,,51,61,51,22,21.00,17.00,176
2026-08-20,buenos-aires,Colegiales,3,n,1,,1100.00,9,17,16,9,16.00,7.50,46
2026-08-20,buenos-aires,Colegiales,3,n,2,1100.00,1339.93,10,14,10,5,18.00,13.00,44
2026-08-20,buenos-aires,Colegiales,3,n,3,1339.93,1800.00,12,14,13,4,29.00,17.00,43
2026-08-20,buenos-aires,Colegiales,3,n,4,1800.00,,20,16,12,4,35.00,27.50,43
2026-08-20,buenos-aires,Colegiales,3,u,0,,,21,19,16,5,29.00,19.00,57
2026-08-20,buenos-aires,Colegiales,4,a,0,,,51,56,33,22,32.00,5.00,115
2026-08-20,buenos-aires,Colegiales,4,a,1,,1799.31,11,9,5,2,24.00,18.00,30
2026-08-20,buenos-aires,Colegiales,4,a,2,1799.31,2800.00,10,11,9,3,35.00,35.00,33
2026-08-20,buenos-aires,Colegiales,4,a,3,2800.00,7000.00,25,33,18,17,32.00,2.50,46
2026-08-20,buenos-aires,Colegiales,4,f,0,,,8,7,8,3,24.00,40.50,39
2026-08-20,buenos-aires,Colegiales,4,n,0,,,28,34,18,13,35.00,3.50,51
2026-08-20,buenos-aires,Colegiales,4,n,3,2800.00,7000.00,13,22,11,11,5.00,2.00,23
2026-08-20,buenos-aires,Colegiales,4,u,0,,,15,15,7,6,,5.00,25
2026-08-20,buenos-aires,Constitución,-1,a,0,,,586,607,479,215,27.00,17.00,1788
2026-08-20,buenos-aires,Constitución,0,a,0,,,316,307,231,99,29.00,21.00,826
2026-08-20,buenos-aires,Constitución,0,a,1,,383.33,65,73,65,26,27.00,21.00,205
2026-08-20,buenos-aires,Constitución,0,a,2,383.33,453.07,71,77,55,29,25.00,12.00,207
2026-08-20,buenos-aires,Constitución,0,a,3,453.07,550.00,71,79,67,27,29.00,17.00,214
2026-08-20,buenos-aires,Constitución,0,a,4,550.00,,97,77,44,17,32.00,28.50,185
2026-08-20,buenos-aires,Constitución,0,f,0,,,133,103,68,25,31.00,19.00,301
2026-08-20,buenos-aires,Constitución,0,f,1,,459.02,18,17,15,5,27.00,28.00,74
2026-08-20,buenos-aires,Constitución,0,f,2,459.02,535.04,26,31,22,12,23.00,7.00,72
2026-08-20,buenos-aires,Constitución,0,f,3,535.04,605.77,35,25,21,6,35.00,20.00,73
2026-08-20,buenos-aires,Constitución,0,f,4,605.77,,43,30,10,2,31.00,29.50,70
2026-08-20,buenos-aires,Constitución,0,n,0,,,136,154,123,54,27.00,25.00,413
2026-08-20,buenos-aires,Constitución,0,n,1,,346.15,35,42,30,14,28.00,19.00,107
2026-08-20,buenos-aires,Constitución,0,n,2,346.15,407.69,37,37,32,14,27.00,26.00,103
2026-08-20,buenos-aires,Constitución,0,n,3,407.69,463.57,28,37,36,19,24.00,11.00,105
2026-08-20,buenos-aires,Constitución,0,n,4,463.57,,36,38,25,7,30.00,32.00,97
2026-08-20,buenos-aires,Constitución,0,u,0,,,47,50,40,20,31.00,13.50,112
2026-08-20,buenos-aires,Constitución,0,u,1,,408.28,12,11,11,5,50.00,13.00,29
2026-08-20,buenos-aires,Constitución,0,u,2,408.28,472.14,13,19,12,7,16.00,12.50,28
2026-08-20,buenos-aires,Constitución,0,u,3,472.14,565.36,8,7,7,2,30.00,29.00,27
2026-08-20,buenos-aires,Constitución,0,u,4,565.36,,13,12,10,6,61.00,6.00,26
2026-08-20,buenos-aires,Constitución,1,a,0,,,175,204,170,84,26.00,15.00,573
2026-08-20,buenos-aires,Constitución,1,a,1,,420.00,40,51,53,22,28.00,15.00,145
2026-08-20,buenos-aires,Constitución,1,a,2,420.00,498.40,33,46,41,22,22.00,15.00,140
2026-08-20,buenos-aires,Constitución,1,a,3,498.40,596.49,46,54,40,19,26.00,12.00,140
2026-08-20,buenos-aires,Constitución,1,a,4,596.49,,48,53,36,21,28.00,16.50,139
2026-08-20,buenos-aires,Constitución,1,f,0,,,64,53,44,23,30.00,17.50,188
2026-08-20,buenos-aires,Constitución,1,f,1,,466.90,10,8,9,3,31.00,28.00,45
2026-08-20,buenos-aires,Constitución,1,f,2,466.90,558.44,10,12,19,9,26.00,20.00,46
2026-08-20,buenos-aires,Constitución,1,f,3,558.44,700.00,23,21,8,6,30.00,17.50,49
2026-08-20,buenos-aires,Constitución,1,f,4,700.00,,14,12,8,5,29.00,13.50,40
2026-08-20,buenos-aires,Constitución,1,n,0,,,92,127,100,46,21.00,15.00,318
2026-08-20,buenos-aires,Constitución,1,n,1,,398.71,26,34,29,13,28.00,26.00,81
2026-08-20,buenos-aires,Constitución,1,n,2,398.71,468.40,21,29,22,11,18.00,15.00,80
2026-08-20,buenos-aires,Constitución,1,n,3,468.40,550.16,25,33,24,10,23.00,16.50,80
2026-08-20,buenos-aires,Constitución,1,n,4,550.16,,20,31,25,12,17.00,11.00,77
